Code,Continent,Entity,Growth Rate - Sex: All - Age: All - Variant: Estimates,Per Capita Consumption-Based Co₂ Emissions,Population (Historical Estimates),Year,Total Emissions
MOZ,Africa,Mozambique,3.04,0.57442045,26843252.0,2015,6.505315257629738e-08
NAM,Africa,Namibia,1.76,5.0740557,2282709.0,2015,3.912166654619577e-06
NPL,Asia,Nepal,0.67,0.22910853,27610328.0,2015,5.559612153104448e-09
NLD,Europe,Netherlands,0.48,9.994856,17041110.0,2015,2.8152690053640875e-07
NZL,Oceania,New Zealand,1.68,8.426337,4590591.0,2015,3.0837524318764186e-06
NIC,North America,Nicaragua,1.43,1.178118,6298610.0,2015,2.674730996203924e-07
NGA,Africa,Nigeria,2.49,0.63642514,183995776.0,2015,8.61269010110319e-09
NOR,Europe,Norway,0.93,9.744335,5190357.0,2015,1.745974612150956e-06
OMN,Asia,Oman,5.09,15.72067,4191784.0,2015,1.9089297134585176e-05
PAK,Asia,Pakistan,1.24,0.8916814,210969296.0,2015,5.240975615712345e-09
PAN,North America,Panama,1.74,0.3439923,3957102.0,2015,1.5125882577704592e-07
PRY,South America,Paraguay,1.43,1.6087627,6177954.0,2015,3.7237743450339704e-07
PER,South America,Peru,1.24,2.0166116,30711864.0,2015,8.142125088858169e-08
PHL,Asia,Philippines,1.76,1.3965832,103031360.0,2015,2.3856682392622986e-08
POL,Europe,Poland,-0.11,8.039241,38553148.0,2015,-2.2937595394285314e-08
PRT,Europe,Portugal,-0.32,5.028467,10365436.0,2015,-1.552379890242919e-07
QAT,Asia,Qatar,8.28,27.996979,2414580.0,2015,9.600633904032999e-05
ROU,Europe,Romania,-0.54,4.0071754,19906078.0,2015,-1.0870422169550428e-07
RUS,Europe,Russia,0.31,9.107773,144668384.0,2015,1.951642474972279e-08
RWA,Africa,Rwanda,2.39,0.09206326,11642963.0,2015,1.8898212714409554e-08
SAU,Asia,Saudi Arabia,1.88,21.378126,32749838.0,2015,1.2272084179469833e-06
SEN,Africa,Senegal,2.71,0.8397048,14356191.0,2015,1.5851001202199106e-07
SGP,Asia,Singapore,1.23,29.141739,5650020.0,2015,6.344108334129791e-06
SVK,Europe,Slovakia,0.09,7.438028,5424449.0,2015,1.2340839041900846e-07
SVN,Europe,Slovenia,0.45,8.474353,2080865.0,2015,1.8326315498602746e-06
ZAF,Africa,South Africa,2.35,5.7880187,55876504.0,2015,2.434268963033192e-07
KOR,Asia,South Korea,0.81,13.097697,50994396.0,2015,2.080451069564585e-07
ESP,Europe,Spain,-0.01,6.100805,46431344.0,2015,-1.3139410739434983e-09
LKA,Asia,Sri Lanka,0.43,1.6399884,21336692.0,2015,3.3050812750167645e-08
SWE,Europe,Sweden,1.04,7.2749667,9849344.0,2015,7.681694707789676e-07
CHE,Europe,Switzerland,1.08,17.420336,8281735.0,2015,2.271741715956862e-06
TWN,Asia,Taiwan,0.38,11.808977,23512136.0,2015,1.9085510818753346e-07
TJK,Asia,Tajikistan,2.36,1.0501623,8524066.0,2015,2.907512715176067e-07
TZA,Africa,Tanzania,3.56,0.3824946,52542824.0,2015,2.5915637423675592e-08
THA,Asia,Thailand,0.44,3.7115192,70294408.0,2015,2.323184012019847e-08
TGO,Africa,Togo,2.5,0.28565148,7473232.0,2015,9.555821363501093e-08
TTO,North America,Trinidad and Tobago,0.64,15.683864,1460180.0,2015,6.8742709528962185e-06
TUN,Africa,Tunisia,1.11,1.9631495,11557779.0,2015,1.885393331192784e-07
TUR,Asia,Turkey,1.71,5.181285,79646176.0,2015,1.112419678504088e-07
UGA,Africa,Uganda,3.11,0.18010934,37477356.0,2015,1.4946092979451378e-08
UKR,Europe,Ukraine,-0.3,4.1544433,44982568.0,2015,-2.7707021751181476e-08
ARE,Asia,United Arab Emirates,0.89,27.123022,8916909.0,2015,2.707158902260862e-06
GBR,Europe,United Kingdom,0.66,9.061221,65224368.0,2015,9.168974791752678e-08
USA,North America,United States,0.78,17.852444,324607776.0,2015,4.289763631540361e-08
URY,South America,Uruguay,0.34,3.1619954,3402820.0,2015,3.1593749772247726e-07
VEN,South America,Venezuela,1.07,2.9038634,30529722.0,2015,1.0177406260037351e-07
VNM,Asia,Vietnam,1.03,1.6153965,92191400.0,2015,1.8047869920621663e-08
ZMB,Africa,Zambia,3.16,0.52162796,16248231.0,2015,1.0144761935006955e-07
ZWE,Africa,Zimbabwe,2.1,0.95995694,14154937.0,2015,1.4241741761196114e-07
